segment_id,date,dow,day_type,period,time_slot,LOS,n,s_node_id,e_node_id,length,street_id,max_velocity,street_level,street_name,street_type,long_snode,lat_snode,long_enode,lat_enode,hour,minute,year_month,is_holiday
73780,2021-03-16,1,weekday,period_10_30,21,D,1,4067989171,4067989172,92,604878206,60.0,3,Phạm Văn Đồng,secondary,106.7027515,10.8230664,106.7019341,10.8228494,10,30,2021-03,False
73780,2021-04-14,2,weekday,period_0_30,1,C,1,4067989171,4067989172,92,604878206,60.0,3,Phạm Văn Đồng,secondary,106.7027515,10.8230664,106.7019341,10.8228494,0,30,2021-04,False
73781,2021-03-09,1,weekday,period_10_00,20,A,1,4067989172,5779433110,16,604878206,60.0,3,Phạm Văn Đồng,secondary,106.7019341,10.8228494,106.7017889,10.822811,10,0,2021-03,False
73781,2021-03-16,1,weekday,period_10_30,21,B,1,4067989172,5779433110,16,604878206,60.0,3,Phạm Văn Đồng,secondary,106.7019341,10.8228494,106.7017889,10.822811,10,30,2021-03,False
73781,2021-03-31,2,weekday,period_0_00,0,A,1,4067989172,5779433110,16,604878206,60.0,3,Phạm Văn Đồng,secondary,106.7019341,10.8228494,106.7017889,10.822811,0,0,2021-03,False
73781,2021-04-14,2,weekday,period_0_30,1,B,1,4067989172,5779433110,16,604878206,60.0,3,Phạm Văn Đồng,secondary,106.7019341,10.8228494,106.7017889,10.822811,0,30,2021-04,False
73787,2021-03-31,2,weekday,period_0_00,0,A,1,4067989174,5742464629,32,604878206,60.0,3,Phạm Văn Đồng,secondary,106.7005167,10.8224861,106.7002326,10.8224072,0,0,2021-03,False
73787,2021-04-14,2,weekday,period_0_30,1,B,1,4067989174,5742464629,32,604878206,60.0,3,Phạm Văn Đồng,secondary,106.7005167,10.8224861,106.7002326,10.8224072,0,30,2021-04,False
73790,2021-03-09,1,weekday,period_10_00,20,A,1,5738446600,5738446599,45,604878219,40.0,4,Cầu Băng Ky,tertiary,106.6985871,10.8181643,106.6989116,10.8184238,10,0,2021-03,False
74418,2021-03-23,1,weekday,period_9_30,19,A,1,5740318639,5740352117,12,605148460,40.0,4,Phan Văn Đối,tertiary,106.5950621,10.8296291,106.5949971,10.8295371,9,30,2021-03,False
74432,2021-04-22,3,weekday,period_4_00,8,C,1,2942307741,1503295391,10,605154930,40.0,4,Lê Quý Đôn,tertiary,106.7992966,10.8875734,106.7992728,10.8876615,4,0,2021-04,False
74434,2021-03-09,1,weekday,period_9_30,19,A,1,1503295409,5740315569,81,605154930,40.0,4,Lê Quý Đôn,tertiary,106.7990946,10.8882759,106.7989349,10.888993,9,30,2021-03,False
74434,2021-03-16,1,weekday,period_10_00,20,A,1,1503295409,5740315569,81,605154930,40.0,4,Lê Quý Đôn,tertiary,106.7990946,10.8882759,106.7989349,10.888993,10,0,2021-03,False
74435,2021-03-09,1,weekday,period_9_30,19,A,1,5740315570,2938679200,80,605154931,40.0,4,Lê Qúy Đôn,tertiary,106.7988382,10.8889654,106.7989961,10.8882562,9,30,2021-03,False
74435,2021-03-11,3,weekday,period_7_30,15,A,1,5740315570,2938679200,80,605154931,40.0,4,Lê Qúy Đôn,tertiary,106.7988382,10.8889654,106.7989961,10.8882562,7,30,2021-03,False
74435,2021-03-16,1,weekday,period_6_30,13,A,1,5740315570,2938679200,80,605154931,40.0,4,Lê Qúy Đôn,tertiary,106.7988382,10.8889654,106.7989961,10.8882562,6,30,2021-03,False
74443,2021-03-11,3,weekday,period_7_30,15,D,1,2409496511,2938681601,20,605158619,40.0,4,Lê Quý Đôn,tertiary,106.8025358,10.8785917,106.8024816,10.8787672,7,30,2021-03,False
74444,2021-03-16,1,weekday,period_6_30,13,D,1,2938681601,2938681606,138,605158619,40.0,4,Lê Quý Đôn,tertiary,106.8024816,10.8787672,106.8020496,10.8799386,6,30,2021-03,False
74445,2021-03-09,1,weekday,period_9_30,19,D,1,2938681606,5753048951,78,605158619,40.0,4,Lê Quý Đôn,tertiary,106.8020496,10.8799386,106.8017862,10.8805924,9,30,2021-03,False
74445,2021-03-11,3,weekday,period_7_30,15,C,1,2938681606,5753048951,78,605158619,40.0,4,Lê Quý Đôn,tertiary,106.8020496,10.8799386,106.8017862,10.8805924,7,30,2021-03,False
74445,2021-03-16,1,weekday,period_6_30,13,B,1,2938681606,5753048951,78,605158619,40.0,4,Lê Quý Đôn,tertiary,106.8020496,10.8799386,106.8017862,10.8805924,6,30,2021-03,False
74446,2021-03-23,1,weekday,period_9_30,19,A,1,5753048951,2217927994,26,605158619,40.0,4,Lê Quý Đôn,tertiary,106.8017862,10.8805924,106.8016962,10.8808159,9,30,2021-03,False
74449,2021-03-09,1,weekday,period_9_30,19,A,1,5753048949,2217927985,170,605158619,40.0,4,Lê Quý Đôn,tertiary,106.8013221,10.8817197,106.8007335,10.883142,9,30,2021-03,False
74449,2021-03-16,1,weekday,period_10_00,20,A,1,5753048949,2217927985,170,605158619,40.0,4,Lê Quý Đôn,tertiary,106.8013221,10.8817197,106.8007335,10.883142,10,0,2021-03,False
74449,2021-03-23,1,weekday,period_9_30,19,A,1,5753048949,2217927985,170,605158619,40.0,4,Lê Quý Đôn,tertiary,106.8013221,10.8817197,106.8007335,10.883142,9,30,2021-03,False
74450,2021-03-09,1,weekday,period_9_30,19,A,1,2217927985,2938679170,16,605158619,40.0,4,Lê Quý Đôn,tertiary,106.8007335,10.883142,106.8006708,10.8832781,9,30,2021-03,False
74450,2021-03-11,3,weekday,period_7_30,15,F,3,2217927985,2938679170,16,605158619,40.0,4,Lê Quý Đôn,tertiary,106.8007335,10.883142,106.8006708,10.8832781,7,30,2021-03,False
74450,2021-03-16,1,weekday,period_10_00,20,A,1,2217927985,2938679170,16,605158619,40.0,4,Lê Quý Đôn,tertiary,106.8007335,10.883142,106.8006708,10.8832781,10,0,2021-03,False
74450,2021-03-16,1,weekday,period_6_30,13,A,2,2217927985,2938679170,16,605158619,40.0,4,Lê Quý Đôn,tertiary,106.8007335,10.883142,106.8006708,10.8832781,6,30,2021-03,False
74450,2021-03-23,1,weekday,period_9_30,19,A,1,2217927985,2938679170,16,605158619,40.0,4,Lê Quý Đôn,tertiary,106.8007335,10.883142,106.8006708,10.8832781,9,30,2021-03,False
74451,2021-03-23,1,weekday,period_9_30,19,F,2,5740356269,5740356251,14,605158620,40.0,4,Lê Qúy Đôn,tertiary,106.7992322,10.8874276,106.7992661,10.8873021,9,30,2021-03,False
74455,2021-03-11,3,weekday,period_7_30,15,A,1,2938679148,2938679172,42,605158620,40.0,4,Lê Qúy Đôn,tertiary,106.7996214,10.8860016,106.7997322,10.8856339,7,30,2021-03,False
74455,2021-03-23,1,weekday,period_9_30,19,A,1,2938679148,2938679172,42,605158620,40.0,4,Lê Qúy Đôn,tertiary,106.7996214,10.8860016,106.7997322,10.8856339,9,30,2021-03,False
74457,2021-03-16,1,weekday,period_6_30,13,A,1,2938679187,2938679140,153,605158620,40.0,4,Lê Qúy Đôn,tertiary,106.7999104,10.8851074,106.8003663,10.8838025,6,30,2021-03,False
74458,2021-03-23,1,weekday,period_9_30,19,A,1,2938679140,2938679182,63,605158620,40.0,4,Lê Qúy Đôn,tertiary,106.8003663,10.8838025,106.800583,10.8832727,9,30,2021-03,False
74810,2021-03-23,1,weekday,period_9_30,19,C,1,366441298,2945730814,2,605194405,40.0,2,Quốc lộ 1K,primary,106.7771682,10.8888594,106.7771467,10.8888493,9,30,2021-03,False
75369,2021-04-14,2,weekday,period_0_00,0,A,1,4068001374,3100059737,233,605469913,60.0,3,Phạm Văn Đồng,secondary,106.7316781,10.8367273,106.7300219,10.8353987,0,0,2021-04,False
75370,2021-03-09,1,weekday,period_10_00,20,A,2,3100059737,3195000748,326,605469913,60.0,3,Phạm Văn Đồng,secondary,106.7300219,10.8353987,106.7277158,10.8335289,10,0,2021-03,False
75370,2021-03-16,1,weekday,period_10_30,21,A,2,3100059737,3195000748,326,605469913,60.0,3,Phạm Văn Đồng,secondary,106.7300219,10.8353987,106.7277158,10.8335289,10,30,2021-03,False
75370,2021-03-23,1,weekday,period_10_00,20,A,1,3100059737,3195000748,326,605469913,60.0,3,Phạm Văn Đồng,secondary,106.7300219,10.8353987,106.7277158,10.8335289,10,0,2021-03,False
75370,2021-03-31,2,weekday,period_0_00,0,A,1,3100059737,3195000748,326,605469913,60.0,3,Phạm Văn Đồng,secondary,106.7300219,10.8353987,106.7277158,10.8335289,0,0,2021-03,False
75370,2021-04-14,2,weekday,period_0_00,0,B,1,3100059737,3195000748,326,605469913,60.0,3,Phạm Văn Đồng,secondary,106.7300219,10.8353987,106.7277158,10.8335289,0,0,2021-04,False
75371,2021-03-09,1,weekday,period_10_00,20,A,1,3195000748,3195000750,65,605469913,60.0,3,Phạm Văn Đồng,secondary,106.7277158,10.8335289,106.7272594,10.8331531,10,0,2021-03,False
75371,2021-03-16,1,weekday,period_10_30,21,A,1,3195000748,3195000750,65,605469913,60.0,3,Phạm Văn Đồng,secondary,106.7277158,10.8335289,106.7272594,10.8331531,10,30,2021-03,False
75371,2021-03-23,1,weekday,period_10_00,20,A,2,3195000748,3195000750,65,605469913,60.0,3,Phạm Văn Đồng,secondary,106.7277158,10.8335289,106.7272594,10.8331531,10,0,2021-03,False
75371,2021-03-31,2,weekday,period_0_00,0,A,2,3195000748,3195000750,65,605469913,60.0,3,Phạm Văn Đồng,secondary,106.7277158,10.8335289,106.7272594,10.8331531,0,0,2021-03,False
75371,2021-04-07,2,weekday,period_13_30,27,A,1,3195000748,3195000750,65,605469913,60.0,3,Phạm Văn Đồng,secondary,106.7277158,10.8335289,106.7272594,10.8331531,13,30,2021-04,False
75371,2021-04-14,2,weekday,period_0_00,0,A,1,3195000748,3195000750,65,605469913,60.0,3,Phạm Văn Đồng,secondary,106.7277158,10.8335289,106.7272594,10.8331531,0,0,2021-04,False
75372,2021-04-07,2,weekday,period_13_30,27,A,1,3195000750,5750655054,15,605469913,60.0,3,Phạm Văn Đồng,secondary,106.7272594,10.8331531,106.7271496,10.8330619,13,30,2021-04,False
75372,2021-04-14,2,weekday,period_0_00,0,F,6,3195000750,5750655054,15,605469913,60.0,3,Phạm Văn Đồng,secondary,106.7272594,10.8331531,106.7271496,10.8330619,0,0,2021-04,False
75373,2021-03-23,1,weekday,period_10_00,20,F,1,5750655054,3141558633,247,605469913,60.0,3,Phạm Văn Đồng,secondary,106.7271496,10.8330619,106.7254178,10.8316231,10,0,2021-03,False
75373,2021-04-14,2,weekday,period_0_30,1,C,1,5750655054,3141558633,247,605469913,60.0,3,Phạm Văn Đồng,secondary,106.7271496,10.8330619,106.7254178,10.8316231,0,30,2021-04,False
75374,2021-03-09,1,weekday,period_10_00,20,A,1,3141558633,2493364042,145,605469913,60.0,3,Phạm Văn Đồng,secondary,106.7254178,10.8316231,106.7243729,10.8308142,10,0,2021-03,False
75374,2021-03-16,1,weekday,period_10_30,21,A,1,3141558633,2493364042,145,605469913,60.0,3,Phạm Văn Đồng,secondary,106.7254178,10.8316231,106.7243729,10.8308142,10,30,2021-03,False
75374,2021-03-23,1,weekday,period_10_00,20,F,3,3141558633,2493364042,145,605469913,60.0,3,Phạm Văn Đồng,secondary,106.7254178,10.8316231,106.7243729,10.8308142,10,0,2021-03,False
