segment_id,date,weekday,day_type,period,time_slot,LOS,n,s_node_id,e_node_id,length,street_id,max_velocity,street_level,street_name,street_type,long_snode,lat_snode,long_enode,lat_enode,hour,minute,year_month,is_holiday
1802,2020-11-29,6,weekend,period_4_30,9,A,1,366433785,4865522547,72,32577210,40.0,3,Vĩnh Lộc,secondary,106.5775667,10.8125836,106.577018,10.812224,4,30,2020-11,False
2063,2020-08-02,6,weekend,period_23_30,47,D,2,2434647895,366445888,13,32577244,40.0,4,Tôn Thất Hiệp,tertiary,106.6544961,10.7657693,106.654598,10.7658359,23,30,2020-08,False
2063,2020-08-03,0,weekday,period_0_00,0,B,8,2434647895,366445888,13,32577244,40.0,4,Tôn Thất Hiệp,tertiary,106.6544961,10.7657693,106.654598,10.7658359,0,0,2020-08,False
2064,2020-08-02,6,weekend,period_23_30,47,F,2,2434647895,4929127560,38,32577244,40.0,4,Tôn Thất Hiệp,tertiary,106.6544961,10.7657693,106.6542158,10.7655534,23,30,2020-08,False
2064,2020-08-03,0,weekday,period_0_00,0,F,8,2434647895,4929127560,38,32577244,40.0,4,Tôn Thất Hiệp,tertiary,106.6544961,10.7657693,106.6542158,10.7655534,0,0,2020-08,False
2065,2020-08-02,6,weekend,period_23_30,47,F,2,4929127560,2434647895,38,32577244,40.0,4,Tôn Thất Hiệp,tertiary,106.6542158,10.7655534,106.6544961,10.7657693,23,30,2020-08,False
2065,2020-08-03,0,weekday,period_0_00,0,F,8,4929127560,2434647895,38,32577244,40.0,4,Tôn Thất Hiệp,tertiary,106.6542158,10.7655534,106.6544961,10.7657693,0,0,2020-08,False
2066,2020-08-02,6,weekend,period_23_30,47,F,2,4929127560,366388735,31,32577244,40.0,4,Tôn Thất Hiệp,tertiary,106.6542158,10.7655534,106.6539899,10.7653719,23,30,2020-08,False
2066,2020-08-03,0,weekday,period_0_00,0,F,8,4929127560,366388735,31,32577244,40.0,4,Tôn Thất Hiệp,tertiary,106.6542158,10.7655534,106.6539899,10.7653719,0,0,2020-08,False
2067,2020-08-02,6,weekend,period_23_30,47,F,2,366388735,4929127560,31,32577244,40.0,4,Tôn Thất Hiệp,tertiary,106.6539899,10.7653719,106.6542158,10.7655534,23,30,2020-08,False
2067,2020-08-03,0,weekday,period_0_00,0,F,8,366388735,4929127560,31,32577244,40.0,4,Tôn Thất Hiệp,tertiary,106.6539899,10.7653719,106.6542158,10.7655534,0,0,2020-08,False
2068,2020-08-02,6,weekend,period_23_30,47,C,2,366388735,366474637,19,32577244,40.0,4,Tôn Thất Hiệp,tertiary,106.6539899,10.7653719,106.6538403,10.7652775,23,30,2020-08,False
2068,2020-08-03,0,weekday,period_0_00,0,F,8,366388735,366474637,19,32577244,40.0,4,Tôn Thất Hiệp,tertiary,106.6539899,10.7653719,106.6538403,10.7652775,0,0,2020-08,False
